country,income_per_capita_2011,life_expectancy_2016,population_2015,four_regions
South Africa,12200,62.4,5.53E+07,africa
Spain,32100,82.9,4.64E+07,europe
Sri Lanka,9210,77.4,2.07E+07,asia
Sudan,3630,68.3,3.86E+07,africa
Suriname,14900,71.4,553000,americas
Swaziland,7320,57.7,1320000,africa
Sweden,43800,82,9760000,europe
Switzerland,55900,83.1,8320000,europe
Syria,6360,68.4,1.87E+07,asia
Tajikistan,2210,71.9,8550000,asia
Tanzania,2190,64.3,5.39E+07,africa
Thailand,13500,77.8,6.87E+07,asia
Timor-Leste,1960,72.7,1240000,asia
Togo,1230,62.6,7420000,africa
Tonga,5100,70.4,106000,asia
Trinidad and Tobago,31000,73.2,1360000,americas
Tunisia,10100,77.5,1.13E+07,africa
Turkey,19700,79.1,7.83E+07,europe
Turkmenistan,11200,70.2,5570000,asia
Uganda,1630,62.3,4.01E+07,africa
Ukraine,8280,72,4.47E+07,europe
United Arab Emirates,58400,76.6,9150000,asia
United Kingdom,36500,80.9,6.54E+07,europe
United States,49800,78.8,3.20E+08,americas
Uruguay,17900,77.3,3430000,americas
Uzbekistan,4470,70.3,3.10E+07,asia
Vanuatu,2920,64,265000,asia
Venezuela,17000,75.5,3.12E+07,americas
Palestine,2660,71.8,4660000,asia
Vietnam,4720,74.5,9.36E+07,asia
Yemen,3800,66.7,2.69E+07,asia
Zambia,3360,58.8,1.61E+07,africa
Zimbabwe,1660,59.3,1.58E+07,africa
South Sudan,3480,59.7,1.19E+07,africa
